,address.houseNumber,street,city,state,zip,address.zipPlus4,sold_month,building.fullBathroomCount,lot.lotDepthFeet,mls.lotSizeSquareFeet,mls.bedroomCount,mls.floorCount,mls.bathroomCount,building.buildingQualityCode,sale.priorSale.price,prev_sale_price,bedrooms_tagged,living_area_tagged,Bathroom_max_tagged,Bathroom_min_tagged,Bathroom_std_tagged,Bathroom_mean_tagged,Floor_max_tagged,Floor_min_tagged,Floor_std_tagged,Floor_mean_tagged,Walls_max_tagged,Walls_min_tagged,Walls_std_tagged,Walls_mean_tagged,Outview_tagged,Outview_std_tagged,Kitchen_level_tagged,Kitchen_level_std_tagged,general.propertyTypeDetail,sale.lastSale.saleDate,sale.priorSale.saleDate,building.yearBuilt,sale.lastSale.price,building.styleCode,building.roofCover,building.exteriorWalls,building.heatSource,building.constructionType,AC,Fireplace,SolarHeat,EvaporativeCooler,AttachedGarage,SpaorHotTub,Spa,Pool,Garage,hoa_type,hoa_amount
363,1136,1136 s plymouth blvd,los angeles,ca,90019,6825,september,3.0,1200.0,6970.0,4.0,1.0,3.0,9.0,1093761.1804217112,1460000.0,4.0,2115.0,5.0,4.0,1.0,5.0,5.0,3.0,1.0,4.0,5.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,Single Family,2019,2018,1936,1660235.0628402447,5.0,Composition Shingle,Stucco,Central,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
364,1136,1136 s plymouth blvd,los angeles,ca,90019,6825,june,3.0,1200.0,6970.0,4.0,1.0,3.0,9.0,1098965.5405666577,,4.0,2115.0,5.0,4.0,0.0,5.0,5.0,3.0,1.0,4.0,5.0,3.0,1.0,4.0,2.0,1.0,4.0,1.0,Single Family,2019,2018,1936,1668715.0277151254,5.0,Composition Shingle,Stucco,Central,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
365,1200,1200 s sierra bonita ave,los angeles,ca,90019,2552,august,2.0,,6098.0,3.0,1.0,2.0,4.0,1518991.9827923346,1200000.0,3.0,1945.0,5.0,1.0,1.0,4.0,5.0,3.0,1.0,4.0,5.0,2.0,1.0,3.0,2.0,1.0,4.0,0.0,Single Family,2019,2016,1923,1918321.091958109,,,Stucco,Central,Wood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUD,300.0
366,1200,1200 s sierra bonita ave,los angeles,ca,90019,2552,august,2.0,,6098.0,3.0,1.0,2.0,4.0,1518991.9827923346,,3.0,1945.0,5.0,4.0,1.0,4.0,5.0,3.0,1.0,4.0,5.0,3.0,1.0,5.0,3.0,0.0,4.0,1.0,Single Family,2019,2016,1923,1918321.091958109,,,Stucco,Central,Wood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUD,300.0
367,1198,1198 crenshaw blvd 3,los angeles,ca,90019,3141,may,3.0,,6970.0,3.0,2.0,2.0,1.0,843797.7347559942,720000.0,3.0,1960.0,4.0,4.0,0.0,4.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,Condominium Unit,2021,2019,2006,890978.1337027361,29.0,,Stucco,Central,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COA,370.0
368,1198,1198 crenshaw blvd 3,los angeles,ca,90019,3141,may,3.0,,6970.0,3.0,2.0,2.0,1.0,843797.7347559942,,3.0,1960.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,3.0,0.0,4.0,0.0,Condominium Unit,2021,2019,2006,890978.1337027361,29.0,,Stucco,Central,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,COA,370.0
369,1322,1322 meadowbrook ave,los angeles,ca,90019,2871,october,2.0,1280.0,6534.0,3.0,1.0,3.0,4.0,1372945.3870625664,1150000.0,3.0,1945.0,5.0,5.0,0.0,5.0,3.0,2.0,1.0,3.0,5.0,3.0,1.0,5.0,3.0,0.0,5.0,0.0,Single Family,2020,2018,1923,1365754.1371504758,15.0,Gravel/Rock,Stucco,Central,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PUD,100.0
370,1322,1322 meadowbrook ave,los angeles,ca,90019,2871,may,2.0,1280.0,6534.0,3.0,1.0,3.0,4.0,1385513.9643359818,,3.0,1945.0,5.0,4.0,1.0,4.0,5.0,2.0,1.0,3.0,5.0,3.0,1.0,5.0,3.0,1.0,4.0,0.0,Single Family,2020,2018,1923,1376803.2995720452,15.0,Gravel/Rock,Stucco,Central,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,PUD,100.0
371,1533,1533 s cloverdale ave,los angeles,ca,90019,4010,december,3.0,1370.0,5479.0,3.0,1.0,3.0,9.0,932120.5127883966,718500.0,3.0,2162.0,5.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,3.0,1.0,4.0,0.0,Single Family,2020,2015,1996,1135342.219494015,12.0,Composition Shingle,Stucco,Central,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
372,1533,1533 s cloverdale ave,los angeles,ca,90019,4010,january,3.0,1370.0,5479.0,3.0,1.0,3.0,9.0,948068.5075482515,,3.0,2162.0,5.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0,5.0,2.0,2.0,4.0,3.0,1.0,5.0,0.0,Single Family,2020,2015,1996,1153105.378004067,12.0,Composition Shingle,Stucco,Central,Wood,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
373,1535,1535 s sierra bonita ave,los angeles,ca,90019,3927,november,3.0,,5488.0,3.0,2.0,2.0,9.0,1444669.1855719918,1145000.0,3.0,2178.0,5.0,1.0,1.0,4.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,5.0,2.0,1.0,4.0,1.0,Single Family,2020,2016,1941,1534921.6949028505,13.0,Composition Shingle,Stucco,Floor/Wall,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
374,1535,1535 s sierra bonita ave,los angeles,ca,90019,3927,may,3.0,,5488.0,3.0,2.0,2.0,9.0,1465255.383817043,,3.0,2178.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,2.0,0.0,5.0,1.0,Single Family,2020,2016,1941,1548903.7120185513,13.0,Composition Shingle,Stucco,Floor/Wall,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
375,1825,1825 cimarron st,los angeles,ca,90019,6319,april,1.0,770.0,4660.0,4.0,2.0,2.0,7.0,935235.9987816316,751000.0,4.0,1932.0,5.0,2.0,1.0,5.0,5.0,3.0,1.0,4.0,5.0,2.0,1.0,4.0,3.0,1.0,5.0,0.0,Single Family,2020,2017,1910,1380059.514997187,,,Stucco,,Wood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
376,1825,1825 cimarron st,los angeles,ca,90019,6319,march,1.0,770.0,4660.0,4.0,2.0,2.0,7.0,937249.3754468267,,4.0,1952.0,4.0,4.0,0.0,4.0,5.0,3.0,1.0,4.0,5.0,2.0,1.0,3.0,4.0,1.0,4.0,1.0,Single Family,2020,2017,1910,1379605.0659888333,,,Stucco,,Wood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0
377,5157,5157 w redondo ct,los angeles,ca,90019,5384,december,3.0,,1480.0,3.0,4.0,3.0,6.0,1314785.7670111395,1135000.0,3.0,2058.0,4.0,4.0,0.0,4.0,5.0,3.0,1.0,4.0,5.0,5.0,0.0,5.0,3.0,1.0,4.0,0.0,Single Family,2021,2019,2018,1374702.8809332512,,,Stucco,Central,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PUD,143.0
378,5157,5157 w redondo ct,los angeles,ca,90019,5384,april,3.0,,1480.0,3.0,4.0,3.0,6.0,1333598.8194454948,,3.0,2058.0,4.0,4.0,0.0,4.0,3.0,3.0,0.0,3.0,5.0,5.0,0.0,5.0,2.0,1.0,5.0,0.0,Single Family,2021,2019,2018,1425539.3893052682,,,Stucco,Central,Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PUD,143.0
